"cell","post_prob","p_norm","type"
"cell284",0.0300500834724541,0.892,"B"
"cell285",0.425470228158041,0.294,"E"
"cell286",0.318864774624374,0.472,"A"
"cell287",0.281302170283806,0.54,"E"
"cell288",0.321318864774624,0.466,"A"
"cell289",0.0550918196994992,0.866,"A"
"cell290",0.118530884808013,0.814,"B"
"cell291",0.781391207568169,0.022,"D"
"cell292",0.015025041736227,0.9,"B"
"cell293",0.128547579298831,0.806,"F"
"cell294",0.0158597662771285,0.898,"C"
"cell295",0.0434056761268781,0.884,"A"
"cell296",0.23873121869783,0.614,"C"
"cell297",0.136894824707846,0.788,"E"
"cell298",0.780489705063996,0.022,"A"
"cell299",0.455108514190317,0.258,"A"
"cell300",0.0158597662771285,0.898,"D"
"cell301",0.156093489148581,0.766,"E"
"cell302",0.153589315525876,0.77,"A"
"cell303",0.0242070116861436,0.894,"B"
"cell304",0.565692821368948,0.134,"C"
"cell305",0.449081803005008,0.268,"A"
"cell306",0.114357262103506,0.822,"C"
"cell307",0,0.918,"A"
"cell308",0.425709515859766,0.294,"A"
"cell309",0.573606010016695,0.128,"B"
"cell310",0.198664440734558,0.684,"E"
"cell311",0.271285475792988,0.562,"A"
"cell312",0.280467445742905,0.542,"E"
"cell313",0.330667779632721,0.442,"E"
"cell314",0.395882025598219,0.34,"C"
"cell315",0.132721202003339,0.798,"B"
"cell316",0.0258764607679466,0.894,"A"
"cell317",0.638480801335559,0.082,"A"
"cell318",0.186143572621035,0.712,"B"
"cell319",0.128547579298831,0.806,"D"
"cell320",0.0207011686143573,0.898,"E"
"cell321",0.0968280467445743,0.828,"B"
"cell322",0.696065664997218,0.052,"A"
"cell323",0.153589315525876,0.77,"A"
"cell324",0.600089037284363,0.106,"C"
"cell325",0.189955481357819,0.704,"A"
"cell326",0.744368391764051,0.036,"A"
"cell327",0.334819143016138,0.438,"B"
"cell328",0.609098497495826,0.098,"B"
"cell329",0.0300500834724541,0.892,"D"
"cell330",0.185948803561491,0.712,"A"
"cell331",0.271508069003895,0.56,"A"
"cell332",0,0.918,"A"
"cell333",0.250417362270451,0.586,"F"
"cell334",0.436956037840846,0.282,"F"
"cell335",0.0342237061769616,0.892,"B"
"cell336",0.188942682248191,0.708,"A"
"cell337",0.395715080690039,0.34,"A"
"cell338",0.010016694490818,0.904,"C"
"cell339",0.535058430717863,0.164,"B"
"cell340",0.37228714524207,0.378,"A"
"cell341",0.25542570951586,0.574,"A"
"cell342",0.00667779632721202,0.906,"A"
"cell343",0.0926544240400668,0.83,"D"
"cell344",0.289232053422371,0.526,"C"
"cell345",0.00584307178631052,0.912,"E"
"cell346",0.493644963828603,0.208,"A"
"cell347",0.433912075681692,0.284,"C"
"cell348",0.0542570951585977,0.868,"B"
"cell349",0.0909849749582638,0.834,"A"
"cell350",0.480801335559265,0.22,"C"
"cell351",0.508597662771285,0.186,"B"
"cell352",0.0943238731218698,0.83,"E"
"cell353",0.215887590428492,0.652,"A"
"cell354",0.0108514190317195,0.902,"C"
"cell355",0.26968836950473,0.562,"A"
"cell356",0.139398998330551,0.786,"E"
"cell357",0.498330550918197,0.2,"A"
"cell358",0.0292153589315526,0.892,"C"
"cell359",0.212854757929883,0.658,"D"
"cell360",0.449287701725097,0.268,"A"
"cell361",0.161936560934891,0.758,"A"
"cell362",0.197807456872565,0.688,"A"
"cell363",0.121190873678353,0.812,"A"
"cell364",0.58347245409015,0.124,"B"
"cell365",0.628514190317195,0.086,"C"
"cell366",0.473016138007791,0.228,"D"
"cell367",0.461602671118531,0.248,"B"
"cell368",0.609755147468002,0.096,"A"
"cell369",0.426544240400668,0.294,"E"
"cell370",0.109348914858097,0.822,"B"
"cell371",0.0809682804674457,0.836,"B"
"cell372",0.0943238731218698,0.83,"B"
"cell373",0.48914858096828,0.214,"E"
"cell374",0.101836393989983,0.826,"B"
"cell375",0.279632721202003,0.542,"D"
"cell376",0.00584307178631052,0.912,"D"
"cell377",0.714524207011686,0.046,"B"
"cell378",0.0258764607679466,0.894,"B"
"cell379",0.523572621035058,0.172,"D"
"cell380",0.0108514190317195,0.902,"E"
"cell381",0.171118530884808,0.734,"A"
"cell382",0.0342237061769616,0.892,"E"
"cell383",0.0651085141903172,0.852,"D"
"cell384",0.245409015025042,0.602,"B"
"cell385",0.362587646076795,0.39,"E"
"cell386",0.0431274346132443,0.884,"C"
"cell387",0.0183639398998331,0.898,"D"
"cell388",0.30471897607123,0.504,"B"
"cell389",0.0734557595993322,0.844,"A"
"cell390",0.485475792988314,0.214,"A"
"cell391",0.293873121869783,0.514,"E"
"cell392",0.805915414579855,0.016,"A"
"cell393",0.420400667779633,0.302,"B"
"cell394",0.244134668892599,0.608,"D"
"cell395",0.258158041179744,0.568,"A"
"cell396",0.356032276015582,0.398,"B"
"cell397",0.418347245409015,0.304,"C"
"cell398",0.519337785197551,0.174,"A"
"cell399",0.197829716193656,0.688,"A"
"cell400",0.101836393989983,0.826,"A"
"cell401",0.126043405676127,0.81,"C"
"cell402",0.205002782415136,0.674,"B"
"cell403",0.713316638842515,0.046,"E"
"cell404",0.612804674457429,0.094,"B"
"cell405",0.401613800779076,0.326,"B"
"cell406",0.0667779632721202,0.85,"A"
"cell407",0.266277128547579,0.566,"A"
"cell408",0.16607122982749,0.752,"F"
"cell409",0.208091263216472,0.672,"B"
"cell410",0.424040066777963,0.296,"A"
"cell411",0.786288258208125,0.022,"A"
"cell412",0.0317195325542571,0.892,"D"
"cell413",0.33889816360601,0.43,"A"
"cell414",0.561202003338898,0.138,"B"
"cell415",0.343494713411241,0.42,"B"
"cell416",0.616026711185309,0.094,"D"
"cell417",0.308013355592654,0.498,"B"
"cell418",0.0834724540901502,0.834,"A"
"cell419",0.179465776293823,0.726,"C"
"cell420",0.514401780745687,0.176,"B"
"cell421",0.220695603784085,0.638,"E"
"cell422",0.0575959933222037,0.864,"A"
"cell423",0.806588759042849,0.016,"C"
"cell424",0.0183639398998331,0.898,"E"
"cell425",0.569143016138008,0.13,"D"
"cell426",0.557050639955481,0.144,"A"
"cell427",0.547801892042293,0.15,"A"
"cell428",0.136060100166945,0.788,"A"
"cell429",0.00918196994991653,0.904,"B"
"cell430",0.317022815804118,0.476,"C"
"cell431",0.359037284362827,0.396,"E"
"cell432",0.497495826377296,0.202,"A"
"cell433",0.671530328324986,0.068,"D"
"cell434",0.459933222036728,0.252,"B"
"cell435",0.539515859766277,0.156,"C"
"cell436",0.495720645520312,0.206,"D"
"cell437",0.367278797996661,0.386,"B"
"cell438",0.161936560934891,0.758,"A"
"cell439",0.465247634947134,0.24,"D"
"cell440",0.193288814691152,0.696,"A"
"cell441",0.0467445742904841,0.878,"A"
"cell442",0.232888146911519,0.624,"C"
"cell443",0.122704507512521,0.812,"E"
"cell444",0.40748469671675,0.312,"A"
"cell445",0.597495826377295,0.106,"A"
"cell446",0.366254869226489,0.388,"A"
"cell447",0.510016694490818,0.184,"A"
"cell448",0.00918196994991653,0.904,"C"
"cell449",0.157762938230384,0.764,"A"
"cell450",0.230383973288815,0.628,"F"
"cell451",0.0701168614357262,0.846,"C"
"cell452",0.103505843071786,0.824,"B"
"cell453",0.198664440734558,0.684,"C"
"cell454",0.213589315525876,0.656,"B"
"cell455",0.406816917084029,0.314,"A"
"cell456",0.396494156928214,0.338,"F"
"cell457",0.159432387312187,0.764,"E"
"cell458",0.486210350584307,0.214,"E"
"cell459",0.489371174179188,0.214,"C"
"cell460",0.000834724540901503,0.916,"D"
"cell461",0.111007234279354,0.822,"F"
"cell462",0.697328881469115,0.052,"D"
"cell463",0.674457429048414,0.066,"A"
"cell464",0.208681135225376,0.672,"A"
"cell465",0.482276015581525,0.216,"D"
"cell466",0.119365609348915,0.814,"A"
"cell467",0.537523650528659,0.16,"B"
"cell468",0.0360823594880356,0.886,"B"
"cell469",0.269220923761825,0.562,"B"
"cell470",0.0676126878130217,0.85,"A"
"cell471",0.241235392320534,0.61,"C"
"cell472",0.727033945464663,0.042,"A"
"cell473",0.108514190317195,0.822,"A"
"cell474",0.714195882025598,0.046,"B"
"cell475",0.494835837506956,0.208,"C"
"cell476",0.211296605453534,0.666,"F"
"cell477",0.683372287145242,0.06,"F"
"cell478",0.139398998330551,0.786,"D"
"cell479",0.139348914858097,0.786,"A"
"cell480",0.673923205342237,0.066,"D"
"cell481",0.0300500834724541,0.892,"F"
"cell482",0.0400667779632721,0.884,"C"
"cell483",0.0492487479131886,0.876,"A"
"cell484",0.00417362270450751,0.916,"C"
"cell485",0.501669449081803,0.198,"A"
"cell486",0.155804117974402,0.766,"B"
"cell487",0.191151919866444,0.704,"D"
"cell488",0.386722314969393,0.356,"D"
"cell489",0.0383973288814691,0.884,"A"
"cell490",0.0684474123539232,0.848,"A"
"cell491",0.426800222593211,0.292,"A"
"cell492",0.114891485809683,0.822,"B"
"cell493",0.27392877017251,0.556,"D"
"cell494",0.0934891485809683,0.83,"C"
"cell495",0.488848080133556,0.214,"C"
"cell496",0.263772954924875,0.566,"B"
"cell497",0.530328324986088,0.168,"A"
"cell498",0.383461324429605,0.362,"A"
"cell499",0.0575959933222037,0.864,"D"
"cell500",0.638658875904285,0.082,"A"
